final_canonical,dominant_category,total_count,n_raw_variants,n_required,n_preferred,sample_variants
ai application,AI/ML/Data,11,6,4,7,hệ thống ứng dụng|AI applications|ứng dụng AI|lập trình ứng dụng|AI application
jncip,Other,11,1,2,9,JNCIP
bdd,Engineering Concepts & Methodologies,10,1,5,5,BDD
microsoft dynamics,Tool & Platform,10,2,7,3,Microsoft Dynamics|Microsoft Dynamic
nifi,Data Engineering & Analytics,10,2,7,3,Nifi|NiFi
incident response,Infrastructure & DevOps,10,3,8,2,incident response|Incident Response|Incident response
web design,Design & UX,10,6,10,0,thiết kế giao diện web|thiết kế UI/UX Web|web design|thiết kế cho web|nguyên tắc thiết kế web
testng,Testing & QA,10,1,8,2,TestNG
software engineering processes,Engineering Concepts & Methodologies,10,7,10,0,quy trình kỹ thuật phần mềm|quy trình sản xuất các hệ thống phần mềm|quy trình sản xuất phần mềm|quy trình phần mềm|software production process
vmware vcp,Other,10,5,0,10,VCP|Vmware VCP|VMware VCP|VCP (VMware)|VMware VCP-DCV
time series,AI/ML/Data,10,8,7,3,time series data|Time-series Data|time-series data|Time Series Analysis|time series
test app,Testing & QA,10,7,9,1,kiểm thử App|test app|kiểm thử app|kiểm thử ATTT ứng dụng|kiểm thử trên app
dự án khối chính phủ,Domain Knowledge,10,8,2,8,phân tích nghiệp vụ dự án nhà nước|dự án của Khối Nhà nước|dự án cho khối cơ quan nhà nước|dự án liên quan đến khối Chính phủ|dự án khối chính phủ
zustand,Framework / Library,10,1,7,3,Zustand
test scenario,Testing & QA,10,3,10,0,test scenario|Test Scenario|test scenarios
hành vi người dùng,Design & UX,10,3,7,3,hành vi người dùng|phân tích hành vi người dùng|nghiên cứu và phân tích hành vi người dùng
listening,Soft Skill,10,4,10,0,lắng nghe|Lắng nghe|listening|lắng nghe chủ động
backend architecture,Engineering Concepts & Methodologies,10,9,9,1,thiết kế và phát triển hệ thống backend|xây dựng hệ thống backend|thiết kế và tối ưu hệ thống backend|phát triển hệ thống backend|backend system
uart,Embedded & Firmware,10,1,9,1,UART
mcp,Other,10,1,7,3,MCP
ha,Infrastructure & DevOps,10,1,7,3,HA
cảm biến,Embedded & Firmware,10,4,8,2,điều chỉnh cảm biến|cảm biến|nguyên lý cảm biến|tích hợp cảm biến
f&b,Domain Knowledge,10,1,2,8,F&B
crewai,Framework / Library,10,1,8,2,CrewAI
ant design,Framework / Library,10,2,7,3,Ant Design|ant design
trình bày vấn đề,Soft Skill,10,2,10,0,trình bày vấn đề|trình bày và giải thích vấn đề
system integrations,Engineering Concepts & Methodologies,10,6,7,3,system integrations|internal system integrations|System Integration – SI|integration system|Systems Integration
hệ thống máy chủ,Infrastructure & DevOps,10,4,7,3,hệ thống máy chủ|quản trị/hỗ trợ hệ thống máy chủ|quản trị hệ thống máy chủ|Vận hành hệ thống máy chủ
web3,Domain Knowledge,10,2,3,7,Web3|web3
mobile security,Domain Knowledge,10,7,7,3,mobile application security|Mobile application security|mobile app security|đánh giá bảo mật cho ứng dụng mobile|Mobile Security
prtg,Infrastructure & DevOps,10,1,6,4,PRTG
advertising,Domain Knowledge,10,8,5,5,quảng cáo digital|advertising|Advertising|chạy Ads|các định dạng quảng cáo
resource management,Soft Skill,10,5,10,0,quản lý tài nguyên hệ thống|resource management|quản lý tài nguyên hệ thống nhúng|quản lý tài nguyên|quản lý nguồn lực
fmcg,Domain Knowledge,10,1,3,7,FMCG
opencv,AI/ML/Data,10,2,9,1,OpenCV|Opencv
t24,Tool & Platform,10,1,4,6,T24
api development,Engineering Concepts & Methodologies,10,2,8,2,API development|API Development
classification,AI/ML/Data,10,2,9,1,classification|Classification
google workspace,Tool & Platform,10,2,8,2,Google Workspace|Google workspace
realm,Database,10,1,10,0,Realm
lưu trữ,Infrastructure & DevOps,10,2,8,2,lưu trữ|Lưu trữ
authorization,Engineering Concepts & Methodologies,10,2,10,0,Authorization|authorization
middleware,Engineering Concepts & Methodologies,10,2,7,3,Middleware|middleware
accessibility,Design & UX,10,5,8,2,accessibility|accessibility compliance|accessibility standards|Accessibility|accessibility testing
supply chain,Domain Knowledge,10,6,6,4,Chuỗi cung ứng|supply chain|Supply Chain|chuỗi cung ứng|quản lý chuỗi cung ứng
owasp,Other,10,1,9,1,OWASP
attention,AI/ML/Data,10,2,8,2,Attention|attention
autosar,Other,10,2,5,5,Autosar|AUTOSAR
micro frontend,Engineering Concepts & Methodologies,10,6,4,6,Micro-Frontend|Micro frontend|Micro-frontend|micro frontend|Micro Front End
bim,Domain Knowledge,10,1,7,3,BIM
graph databases,Database,10,5,9,1,Graph Databases|Graph databases|graph database|Graph Database|graph DB
odi,Data Engineering & Analytics,10,2,10,0,odi|ODI
hạ tầng,Infrastructure & DevOps,10,2,9,1,Hạ tầng|hạ tầng
macos,Tool & Platform,10,2,9,1,MacOS|macOS
văn phòng,Tool & Platform,10,4,9,1,chứng chỉ tin học văn phòng|kỹ năng văn phòng|công cụ văn phòng|vi tính văn phòng
hive,Data Engineering & Analytics,10,1,8,2,Hive
payment gateway,Domain Knowledge,10,5,3,7,Payment Gateway|payment gateway|Payment Gateways|Payment gateway|payment gateways
sap s 4hana,Tool & Platform,10,4,7,3,SAP S/4HANA|S/4 HANA|S/4HANA|BW/4HANA
esb,Infrastructure & DevOps,10,1,7,3,ESB
streaming data,Data Engineering & Analytics,10,5,4,6,streaming data|stream procesing|streaming data processing|stream implementation|streaming dữ liệu
cloudwatch,Infrastructure & DevOps,10,4,10,0,CloudWatch|Cloudwatch|AWS Cloudwatch|AWS CloudWatch
mvi,Engineering Concepts & Methodologies,10,1,10,0,MVI
kịch bản kiểm thử,Testing & QA,10,6,10,0,lập kế hoạch kiểm thử|kịch bản kiểm thử|xây dựng kịch bản kiểm thử|thiết kế kịch bản kiểm thử|viết kế hoạch kiểm thử
working with japanese clients,Soft Skill,9,3,4,5,working with Japanese clients|working on projects with Japanese clients|Japanese clients
technical,Soft Skill,9,7,6,3,Hiểu biết về kỹ thuật|đào tạo kỹ thuật|điều phối kỹ thuật|truyền đạt kỹ thuật|Kỹ thuật
api security,Infrastructure & DevOps,9,3,9,0,API security|API Security|Secure API design
snowflake,Data Engineering & Analytics,9,2,7,2,Snowflake|Snowflake SnowPro
fastlane,Tool & Platform,9,1,6,3,Fastlane
load testing,Testing & QA,9,3,8,1,Load Testing|load testing|Load Test
conflict management,Soft Skill,9,5,9,0,xử lý xung đột mạng|quản lý xung đột|xử lý xung đột|Conflict management|Conflict Management
rhcsa,Other,9,1,0,9,RHCSA
onnx,AI/ML/Data,9,2,7,2,Onnx|ONNX
zapier,Tool & Platform,9,1,7,2,Zapier
anthropic,AI/ML/Data,9,2,7,2,Anthropic|Anthropic Claude
platform engineering,Infrastructure & DevOps,9,5,5,4,Platform Engineering|platform engineering|Platform Engineer|platform design|platform architecture
rtos,Embedded & Firmware,9,1,7,2,RTOS
haproxy,Infrastructure & DevOps,9,3,5,4,Haproxy|HAProxy|haproxy
graphic design,Design & UX,9,3,6,3,thiết kế đồ họa|Graphic Design|thiết kế sản phẩm đồ họa
room,Framework / Library,9,1,8,1,Room
low code,Tool & Platform,9,7,6,3,No-code/Low-code|no-code/low-code|Low-code|low-code|Low Code / No Code platforms
cross functional teams,Soft Skill,9,8,6,3,cross-functional teams|work with cross-functional teams|collaborate with cross-functional teams|làm việc với các cross-functional teams|Cross-functional team
automated test,Testing & QA,9,6,8,1,test tự động|Test tự động|Automated Test|automated tests|automated UI testing
ids ips,Infrastructure & DevOps,9,1,7,2,IDS/IPS
lora,AI/ML/Data,9,3,4,5,LoRa|LoRA|Lora
mitre att&ck framework,Other,9,3,7,2,MITRE ATT&CK Framework|MITRE ATT&CK|ATT&CK Framework
security engineering,Infrastructure & DevOps,9,7,9,0,security infrastructure|Security Engineer|Security Architecture|security architecture|security engineering
core data,Database,9,3,9,0,Core Data|core data|CoreData
công cụ kiểm thử tự động,Testing & QA,9,3,4,5,tự động hóa kiểm thử|công cụ kiểm thử tự động|kiểm thử tự động hóa
vllm,AI/ML/Data,9,1,5,4,vLLM
togaf,Other,9,2,2,7,TOGAF|Togaf
thuật toán học máy,AI/ML/Data,9,4,9,0,tư duy thuật toán|thuật toán AI|thuật toán học máy|thuật toán máy học
network programming,Infrastructure & DevOps,9,5,8,1,network infrastructure and operations|Network Programming|network programming|network operations|network implementation
clickhouse,Database,9,2,6,3,ClickHouse|Clickhouse
burp suite,Testing & QA,9,1,8,1,Burp Suite
bitbucket,Tool & Platform,9,3,8,1,Bitbucket|BITBUCKET|bitbucket
điều phối nhóm,Soft Skill,9,5,8,1,điều phối nhóm|phối hợp liên đội nhóm|làm việc trong nhóm|làm việc với một nhóm|làm việc việc nhóm
domain,Infrastructure & DevOps,9,2,7,2,domain|Domain
linq,Framework / Library,9,3,6,3,LINQ|Linq|LinQ
ble,Domain Knowledge,9,1,8,1,BLE
admob,Tool & Platform,9,2,5,4,Admob|AdMob
lan wan,Infrastructure & DevOps,9,1,9,0,LAN/WAN
analysis and design,Engineering Concepts & Methodologies,9,7,8,1,phân tích thiết kế chức năng nghiệp vụ|phân tích và thiết kế nghiệp vụ|phân tích các thiết kế|công cụ hỗ trợ phân tích thiết kế|phân tích thiết kế
iap,Domain Knowledge,9,1,5,4,IAP
data architecture,Engineering Concepts & Methodologies,9,3,8,1,Data Architecture|data architecture|Information/Data Architecture
magento,Tool & Platform,9,1,2,7,Magento
edr,Tool & Platform,9,1,6,3,EDR
less,Framework / Library,9,2,9,0,LESS|Less
memcached,Database,9,2,7,2,Memcached|Memcache
urd,Engineering Concepts & Methodologies,9,1,9,0,URD
soapui,Testing & QA,9,1,7,2,SoapUI
xây dựng,Domain Knowledge,9,3,8,1,xây dựng|Xây dựng|triển khai lắp đặt
erp system,Domain Knowledge,9,4,6,3,hệ thống ERP|kiến trúc hệ thống ERP|ERP System|Cấu trúc hệ thống ERP
rbac,Engineering Concepts & Methodologies,9,1,8,1,RBAC
appsflyer,Tool & Platform,9,2,5,4,Appsflyer|AppsFlyer
reliability engineering,Infrastructure & DevOps,9,3,8,1,reliability|system reliability|reliability engineering
cơ sở hạ tầng cntt,Infrastructure & DevOps,9,8,8,1,hỗ trợ kỹ thuật về hạ tầng CNTT|dịch vụ hạ tầng CNTT|vận hành hạ tầng CNTT|hệ thống hạ tầng CNTT|triển khai hạ tầng CNTT
lark,Tool & Platform,9,1,4,5,Lark
streaming,Domain Knowledge,9,6,7,2,media streaming devices|Streaming|streaming|Media streaming|media streaming
government,Domain Knowledge,9,6,4,5,chính phủ|Chính phủ|lĩnh vực Chính phủ/Nhà nước|khối Chính phủ|Government
thiết bị văn phòng,IT Support & Hardware,9,5,8,1,các thiết bị văn phòng|thiết bị máy văn phòng|thiết bị văn phòng|Thiết bị văn phòng|Lắp đặt & cài đặt các thiết bị văn phòng
antivirus,Tool & Platform,9,3,9,0,Antivirus|antivirus|hệ thống Antivirus
qa qc,Testing & QA,9,2,8,1,QA/QC|software QC/QA
zephyr,Testing & QA,9,1,8,1,Zephyr
looker,Data Engineering & Analytics,9,1,9,0,Looker
quy trình sản xuất,Domain Knowledge,9,8,6,3,quy trình sản xuất|lệnh sản xuất|Quy trình sản xuất|ngành sản xuất|Vận hành sản xuất
wpf,Framework / Library,9,1,6,3,WPF
private cloud,Infrastructure & DevOps,9,2,7,2,private cloud|Private Cloud
quy trình vận hành,Engineering Concepts & Methodologies,9,7,9,0,quy trình vận hành|xây dựng quy trình|xây dựng quy trình vận hành|xây dựng quy trình IT|quy trình hóa
big data systems,Data Engineering & Analytics,9,7,3,6,Kiến trúc Big Data|xử lý hệ thống có lượng dữ liệu lớn|hệ thống xử lý lượng dữ liệu lớn|hệ thống dữ liệu quy mô lớn|hệ thống dữ liệu lớn
product,Domain Knowledge,9,2,4,5,Product|product
xgboost,AI/ML/Data,9,2,7,2,XGBoost|xgboost
stp,Infrastructure & DevOps,8,1,8,0,STP
conversational ai,AI/ML/Data,8,5,6,2,giọng nói/hội thoại|conversational AI|Conversational AI|conversational UI|xử lý hội thoại
mentor team,Soft Skill,8,6,8,0,mentor/coach|coaching and mentoring|mentoring & dẫn dắt team|mentoring/ coaching|mentor/coach others
nist,Other,8,1,4,4,NIST
kvm,Infrastructure & DevOps,8,1,7,1,KVM
vulnerability management,Infrastructure & DevOps,8,7,7,1,vulnerability management|Vulnerability management|Vulnerability Assessment|vulnerability research|vulnerability management tools
education technology,Domain Knowledge,8,6,4,4,công nghệ giáo dục|Giáo dục / EdTech|công nghệ giáo dục (EdTech)|Công nghệ Giáo dục (EdTech)|Education technology
glue,Data Engineering & Analytics,8,1,6,2,Glue
ai technologies,Domain Knowledge,8,5,5,3,AI technologies|technology|Chuyển dịch công nghệ|công nghệ|thiết bị công nghệ
multi cloud,Infrastructure & DevOps,8,4,2,6,multi-cloud|Multi-Cloud|Multi-cloud Strategy|Multi-cloud deployment
premiere,Tool & Platform,8,1,5,3,Premiere
hạ tầng mạng,Infrastructure & DevOps,8,3,7,1,hạ tầng mạng|triển khai hạ tầng mạng|Thi công lắp đặt hệ thống mạng
release management,Engineering Concepts & Methodologies,8,3,8,0,release planning|release management|Release Management
native modules,Framework / Library,8,5,3,5,Native Modules|native modules|native module|native module development|native module integration
android application architecture,Engineering Concepts & Methodologies,8,4,8,0,Android application architecture|Android system architecture|kiến trúc ứng dụng Android|Android architecture
oracle certified expert (oce),Other,8,4,0,8,Oracle Certified Associate (OCA)|Oracle Certified Professional (OCP)|Oracle Certified Master (OCM)|Oracle Certified Expert (OCE)
digital marketing,Domain Knowledge,8,4,4,4,Digital Marketing|digital marketing|Digital Marketing Platform|Digital Media/Online Marketing
pgvector,Database,8,1,8,0,pgvector
cài đặt phần mềm,IT Support & Hardware,8,3,8,0,"cài đặt phần mềm máy tính|cài đặt phần mềm|cài đặt, cấu hình phần mềm"
perl,Programming Language,8,2,5,3,Perl|perl
intune,Tool & Platform,8,1,6,2,Intune
sap btp,Tool & Platform,8,1,8,0,SAP BTP
push notification,Engineering Concepts & Methodologies,8,4,5,3,Push Notification|push notification|push notification services|push notifications
cctv,Domain Knowledge,8,1,8,0,CCTV
redhat,Tool & Platform,8,2,7,1,RedHat|Redhat
search engine,AI/ML/Data,8,6,5,3,Search engine|Search Engines|hệ thống tìm kiếm|search systems|search engine
leader,Soft Skill,8,2,3,5,Leader|leader
cms,Tool & Platform,8,1,4,4,CMS
test app web,Testing & QA,8,7,7,1,testing Web applications|quy trình kiểm thử phần mềm web|test app/web|test cho ứng dụng web|test ứng dụng Web/App
hệ thống ngân hàng,Domain Knowledge,8,4,4,4,"hệ thống ngân hàng|hệ thống ngân hàng lõi|hệ thống ngân hàng, tài chính|kiến trúc hệ thống ngân hàng"
vcenter,Infrastructure & DevOps,8,2,4,4,vCenter|vcenter
object storage,Infrastructure & DevOps,8,5,5,3,Object Storage (S3)|object storage architectures|Object Storage|object storage|Object Storages
log bug,Testing & QA,8,2,8,0,log bug|Log bug
vendor management,Soft Skill,8,6,8,0,vendor management|Vendor management|contract and vendor management|vendor and procurement management|quản lý vendor
framework,Framework / Library,8,7,5,3,NodeJS framework|AI frameworks|framework AI/ML|cấu trúc framework|framework AI
erd,Engineering Concepts & Methodologies,8,1,8,0,ERD
technical reporting,Soft Skill,8,3,8,0,technical reporting|viết báo cáo kỹ thuật|operational reporting
webhooks,Engineering Concepts & Methodologies,8,3,7,1,Web APIs|webhooks|websobket
mockito,Testing & QA,8,2,8,0,mockito|Mockito
programming languages,Programming Language,8,3,5,3,programming languages|ngôn ngữ lập trình|software programming languages
công cụ giám sát hệ thống,Infrastructure & DevOps,8,5,8,0,vận hành và giám sát hệ thống|giám sát hệ thống|công cụ giám sát hệ thống|Theo dõi hệ thống|hệ thống giám sát
